ID,Ministerie van,Pand,Eigendom/ Huur,Onderhouds status 2020,Gebruiks status 2020,District,Adres,Afdeling/diensten/activiteit,update datum
648,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Ellen,Eigendom,Redelijk,,,Plantage Ellen,Directoraat Onderwijs,4-Nov-20
649,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Meerzorg,Eigendom,Redelijk,,,Comm. Turkoweg 32,Directoraat Onderwijs,4-Nov-20
650,ONDERWIJS WETENSCHAP EN CULTUUR,VOJ La Solitude,Eigendom,Redelijk,,,Oost-West Verbinding,Directoraat Onderwijs,4-Nov-20
651,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Onverdacht,Eigendom,Redelijk,,,Onverdachtstraat 10,Directoraat Onderwijs,4-Nov-20
652,ONDERWIJS WETENSCHAP EN CULTUUR,VOJ Onverwacht,Eigendom,Redelijk,,,Damstraa,Directoraat Onderwijs,4-Nov-20
653,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Paranam,Eigendom,Redelijk,,,Jarabakkalaan,Directoraat Onderwijs,4-Nov-20
654,ONDERWIJS WETENSCHAP EN CULTUUR,VOJ Copieweg,Eigendom,Redelijk,,,Copieweg,Directoraat Onderwijs,4-Nov-20
655,ONDERWIJS WETENSCHAP EN CULTUUR,VOJ Mathoora,Eigendom,Redelijk,,,Sidodadiweg,Directoraat Onderwijs,4-Nov-20
656,ONDERWIJS WETENSCHAP EN CULTUUR,VOJ Von Freyburg,Eigendom,Redelijk,,,Catharina Sophia,Directoraat Onderwijs,4-Nov-20
657,ONDERWIJS WETENSCHAP EN CULTUUR,VOJ Debi Sahai,Eigendom,Redelijk,,,Debi Sahai,Directoraat Onderwijs,4-Nov-20
658,ONDERWIJS WETENSCHAP EN CULTUUR,Tata Colinschool,Eigendom,Redelijk,,,Gouverneurstraat,Directoraat Onderwijs,4-Nov-20
659,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Wageningen,Eigendom,Redelijk,,,Blau Kepankistraat,Directoraat Onderwijs,4-Nov-20
660,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Henar,Eigendom,Redelijk,,,Henarweg,Directoraat Onderwijs,4-Nov-20
661,ONDERWIJS WETENSCHAP EN CULTUUR,R. G. Bueno Bibaz,Eigendom,Redelijk,,,Wixstraat 26,Directoraat Onderwijs,4-Nov-20
662,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Paradise,Eigendom,Redelijk,,,"Kewalweg, Paradise",Directoraat Onderwijs,4-Nov-20
663,ONDERWIJS WETENSCHAP EN CULTUUR,Schneiders Howards,Eigendom,Redelijk,,,Awinistraat 1,Directoraat Onderwijs,4-Nov-20
664,ONDERWIJS WETENSCHAP EN CULTUUR,Sitalsing,Eigendom,Redelijk,,,A. K. Doergastraat,Directoraat Onderwijs,4-Nov-20
665,ONDERWIJS WETENSCHAP EN CULTUUR,Avond Mulo Nickerie OAM 6,Eigendom,Redelijk,,,Wixstraat 26,Directoraat Onderwijs,4-Nov-20
666,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Westelijke Polder,Eigendom,Redelijk,,,Gemaalweg,Directoraat Onderwijs,4-Nov-20
667,ONDERWIJS WETENSCHAP EN CULTUUR,OAM Albina OAM 8,Eigendom,Redelijk,,,Wilhelminastraat,Directoraat Onderwijs,4-Nov-20
668,ONDERWIJS WETENSCHAP EN CULTUUR,VOJ Albina,Eigendom,Redelijk,,,Wilhelminastraat,Directoraat Onderwijs,4-Nov-20
669,ONDERWIJS WETENSCHAP EN CULTUUR,OAM Mongoo OAM 5,Eigendom,Redelijk,,,Mohamed Joenoes William,Directoraat Onderwijs,4-Nov-20
670,ONDERWIJS WETENSCHAP EN CULTUUR,Hubertus Waaldijk 1,Eigendom,Redelijk,,,Lynweg 9,Directoraat Onderwijs,4-Nov-20
671,ONDERWIJS WETENSCHAP EN CULTUUR,Hubertus Waaldijk 2,Eigendom,Redelijk,,,Lynweg 9,Directoraat Onderwijs,4-Nov-20
672,ONDERWIJS WETENSCHAP EN CULTUUR,VOJ Atjonie,Eigendom,Redelijk,,,Atjoniweg 1,Directoraat Onderwijs,4-Nov-20
673,ONDERWIJS WETENSCHAP EN CULTUUR,VOJ Apoera,Eigendom,Redelijk,,,Coppenamestraat (Sipaliwinie),Directoraat Onderwijs,4-Nov-20
674,ONDERWIJS WETENSCHAP EN CULTUUR,VOJ Stoelmanseiland,Eigendom,Redelijk,,,Sipaliwini,Directoraat Onderwijs,4-Nov-20
675,ONDERWIJS WETENSCHAP EN CULTUUR,Mulo Brokopondo,Eigendom,Redelijk,,,Mamadamweg 25,Directoraat Onderwijs,4-Nov-20
676,ONDERWIJS WETENSCHAP EN CULTUUR,OAM Brownsweg OAM 7,Eigendom,Redelijk,,,Brownsweg (Ganze),Directoraat Onderwijs,4-Nov-20
677,ONDERWIJS WETENSCHAP EN CULTUUR,OAM Brokopondo OAM 9,Eigendom,Redelijk,,,Mamadamweg 25,Directoraat Onderwijs,4-Nov-20
678,ONDERWIJS WETENSCHAP EN CULTUUR,Dependance Mulo Brokopondo,Eigendom,Redelijk,,,O.S. Brownsweg,Directoraat Onderwijs,4-Nov-20
679,ONDERWIJS WETENSCHAP EN CULTUUR,AMTO,Eigendom,Redelijk,,,Mr. J. Lachmonstraat 180-182,Directoraat Onderwijs,4-Nov-20
680,ONDERWIJS WETENSCHAP EN CULTUUR,AMTO NICK,Eigendom,Redelijk,,,Alupistraat 2,Directoraat Onderwijs,4-Nov-20
681,ONDERWIJS WETENSCHAP EN CULTUUR,IMEAO 1,Eigendom,Redelijk,,,Joli Coeurstraat 1,Directoraat Onderwijs,4-Nov-20
682,ONDERWIJS WETENSCHAP EN CULTUUR,IMEAO 2,Eigendom,Redelijk,,,Metaalstraat 2,Directoraat Onderwijs,4-Nov-20
683,ONDERWIJS WETENSCHAP EN CULTUUR,IMEAO 3,Eigendom,Redelijk,,,Noordpoolweg 11a,Directoraat Onderwijs,4-Nov-20
684,ONDERWIJS WETENSCHAP EN CULTUUR,IMEAO 4,Eigendom,Redelijk/Goed,,,Gitaarstraat 28,Directoraat Onderwijs,4-Nov-20
685,ONDERWIJS WETENSCHAP EN CULTUUR,IMEAO 5,Eigendom,Redelijk/Goed,,,Magentaweg,Directoraat Onderwijs,4-Nov-20
686,ONDERWIJS WETENSCHAP EN CULTUUR,IMEAO 6,Eigendom,Redelijk,,,Metaalstraat 10,Directoraat Onderwijs,4-Nov-20
687,ONDERWIJS WETENSCHAP EN CULTUUR,Avond Imeao,Eigendom,Redelijk,,,Mr. J. Lachmonstraat 190-182,Directoraat Onderwijs,4-Nov-20
688,ONDERWIJS WETENSCHAP EN CULTUUR,SMO,Eigendom,Redelijk/Goed,,,Metaalstraat,Directoraat Onderwijs,4-Nov-20
689,ONDERWIJS WETENSCHAP EN CULTUUR,NATIN Paramaribo,Eigendom,Redelijk,,,Mr. J. Lachmonstraat ,Directoraat Onderwijs,4-Nov-20
690,ONDERWIJS WETENSCHAP EN CULTUUR,NATIN Paramaribo,Eigendom,Redelijk,,,Lelydorp,Directoraat Onderwijs,4-Nov-20
691,ONDERWIJS WETENSCHAP EN CULTUUR,NATIN Paramaribo,Eigendom,Redelijk,,,Mottonshoop,Directoraat Onderwijs,4-Nov-20
692,ONDERWIJS WETENSCHAP EN CULTUUR,NATIN Paramaribo,Eigendom,Redelijk,,,Nickerie,Directoraat Onderwijs,4-Nov-20
693,ONDERWIJS WETENSCHAP EN CULTUUR,Adfontes Havo,Eigendom,Redelijk,,,Gravenberchstraat 2,Directoraat Onderwijs,4-Nov-20
694,ONDERWIJS WETENSCHAP EN CULTUUR,Openbaar Atheneum,Eigendom,Redelijk,,,Margrietstraat 4,Directoraat Onderwijs,4-Nov-20
695,ONDERWIJS WETENSCHAP EN CULTUUR,Henri Dahlberg,Eigendom,Redelijk,,,Manjanstraat 1,Directoraat Onderwijs,4-Nov-20
696,ONDERWIJS WETENSCHAP EN CULTUUR,HAVO 3,Eigendom,Redelijk,,,Leysweg 103,Directoraat Onderwijs,4-Nov-20
697,ONDERWIJS WETENSCHAP EN CULTUUR,Christelijk HAVO,Eigendom,Redelijk,,,Negrekopoestraat 1,Directoraat Onderwijs,4-Nov-20
698,ONDERWIJS WETENSCHAP EN CULTUUR,HAVO 4,Eigendom,Redelijk,,,Margrietstraat 4,Directoraat Onderwijs,4-Nov-20
699,ONDERWIJS WETENSCHAP EN CULTUUR,Avond HAVO Paramaribo,Eigendom,Redelijk,,,Marowijnestrat,Directoraat Onderwijs,4-Nov-20
700,ONDERWIJS WETENSCHAP EN CULTUUR,Avond HAVO Nickerie,Eigendom,Redelijk,,,Julianastraat 100,Directoraat Onderwijs,4-Nov-20
701,ONDERWIJS WETENSCHAP EN CULTUUR,Instituut Nickerie,Eigendom,Redelijk,,,Julianastraat 101,Directoraat Onderwijs,4-Nov-20
702,ONDERWIJS WETENSCHAP EN CULTUUR,CPI,Eigendom,Redelijk,,,Negrekopoestraat ,Directoraat Onderwijs,4-Nov-20
703,ONDERWIJS WETENSCHAP EN CULTUUR,SPI,Eigendom,Redelijk,,,Verl. Mr. J. Lachmonstraat 63-65,Directoraat Onderwijs,4-Nov-20
704,ONDERWIJS WETENSCHAP EN CULTUUR,Avond Hoofdakte,Eigendom,Redelijk,,,Verl. Mr. J. Lachmonstraat 63-65,Directoraat Onderwijs,4-Nov-20
705,ONDERWIJS WETENSCHAP EN CULTUUR,MR. Dr. J. C. de Miranda Lyceum,Eigendom,Redelijk,,,Passibloemstraat 1,Directoraat Onderwijs,4-Nov-20
706,ONDERWIJS WETENSCHAP EN CULTUUR,Algemene Middelbare School,Eigendom,Redelijk/Goed,,,Marowijnestraat 20,Directoraat Onderwijs,4-Nov-20
707,ONDERWIJS WETENSCHAP EN CULTUUR,E. O. Meyer Lyceum,Eigendom,Redelijk,,,Weidestraat 69,Directoraat Onderwijs,4-Nov-20
708,ONDERWIJS WETENSCHAP EN CULTUUR,VWO 4,Eigendom,Redelijk,,,Amaktistraat 4,Directoraat Onderwijs,4-Nov-20
709,ONDERWIJS WETENSCHAP EN CULTUUR,Avond VWO,Eigendom,Redelijk,,,Marowijnestraat 20,Directoraat Onderwijs,4-Nov-20
710,ONDERWIJS WETENSCHAP EN CULTUUR,Nickerie (HAVO/VWO),Eigendom,Redelijk,,,Alupistraat 233,Directoraat Onderwijs,4-Nov-20
711,ONDERWIJS WETENSCHAP EN CULTUUR,Maho (HAVO/VWO),Eigendom,Redelijk/Goed,,,Mahoweg 2,Directoraat Onderwijs,4-Nov-20
712,ONDERWIJS WETENSCHAP EN CULTUUR,Kwatta (HAVO/VWO),Eigendom,Redelijk/Goed,,,Gitaarstraat 28,Directoraat Onderwijs,4-Nov-20
713,ONDERWIJS WETENSCHAP EN CULTUUR,Tamanredjo (HAVO/VWO),Eigendom,Redelijk,,,Mandoerweg,Directoraat Onderwijs,4-Nov-20
714,ONDERWIJS WETENSCHAP EN CULTUUR,Henri Hassankhan (HAVO/VWO),Eigendom,Redelijk,,,Indira Gandhiweg 390 km 16.5,Directoraat Onderwijs,4-Nov-20
715,ONDERWIJS WETENSCHAP EN CULTUUR,HHS-Dependance,Eigendom,Redelijk,,,Welgedacht C weg 17,Directoraat Onderwijs,4-Nov-20
716,ONDERWIJS WETENSCHAP EN CULTUUR,Tamanredjo IMEAO,Eigendom,Redelijk/Goed,,,Mandoerweg,Directoraat Onderwijs,4-Nov-20
